기준년도,기준월,기준일,법정동명,번지,아파트명,층수,거래금액(만원),전용면적(㎡)
2020,1,01,광명동,781,월드메르디앙,5,55000,84.83
2020,1,02,하안동,295,주공7,5,30700,45.77
2020,1,02,철산동,629,두산위브,4,47800,59.81
2020,1,03,소하동,1289,광명소하휴먼시아3단지,4,64000,84.95
2020,1,03,하안동,682,주공1,8,28000,41.3
2020,1,03,하안동,702,주공5,3,32500,59.39
2020,1,03,하안동,296,주공6,10,33400,41.3
2020,1,03,철산동,367,철산한신,7,63500,89.455
2020,1,03,철산동,367,철산한신,11,61500,89.455
2020,1,04,하안동,702,주공5,7,34000,58.01
2020,1,04,철산동,449,주공12,5,61400,53.46
2020,1,04,철산동,625,도덕파크타운2단지,17,31200,39.65
2020,1,04,광명동,785,광명해모로이연,17,65300,84.986
2020,1,06,철산동,625,도덕파크타운1단지,20,49300,59.82
2020,1,06,철산동,367,철산한신,12,62000,89.455
2020,1,06,철산동,625,도덕파크타운1단지,12,67800,114.77
2020,1,06,하안동,295,주공7,14,41000,58.01
2020,1,06,하안동,702,주공5,8,52700,79.07
2020,1,06,하안동,651,주공4,15,38250,58.01
2020,1,06,철산동,625,도덕파크타운1단지,10,45600,59.82
2020,1,07,하안동,651,주공4,1,28000,45.77
2020,1,07,소하동,889-2,개운저층,2,20300,47.25
2020,1,07,광명동,781,월드메르디앙,22,48000,59.7
2020,1,07,하안동,864,이편한세상센트레빌,9,94500,123.639
2020,1,08,철산동,241,주공13,2,75500,83.52
2020,1,08,철산동,625,도덕파크타운1단지,24,54700,84.98
2020,1,08,하안동,110,주공12,2,62500,84.79
2020,1,08,하안동,682,주공1,1,34200,49.94
2020,1,09,소하동,1273,금호어울림,14,42250,59.97
2020,1,09,광명동,419-48,정다움,2,35000,75.6
2020,1,10,하안동,110,주공12,5,48000,59.22
2020,1,10,광명동,200-6,광명한진타운,5,46500,53.06
2020,1,11,소하동,1294,광명소하휴먼시아5단지,1,50500,59.82
2020,1,11,하안동,260,주공8(고층),3,29000,45.77
2020,1,11,하안동,864,이편한세상센트레빌,8,80000,84.98
2020,1,11,하안동,110,주공12,6,69000,84.79
2020,1,11,광명동,779,현진에버빌,14,46400,59.807
2020,1,11,하안동,650,주공3,1,25900,36.16
2020,1,13,하안동,30,주공10,6,41900,59.39
2020,1,13,하안동,30,주공10,8,31000,45.77
2020,1,13,하안동,682,주공1,9,27700,41.3
2020,1,14,하안동,682,주공1,2,26950,41.3
2020,1,14,광명동,781,월드메르디앙,25,58000,84.83
2020,1,15,광명동,779,현진에버빌,6,46000,59.807
2020,1,15,광명동,733,영화,2,29800,82.5
2020,1,16,철산동,627,롯데낙천대,13,53000,84.38
2020,1,16,하안동,864,이편한세상센트레빌,26,70750,59.982
2020,1,18,하안동,27,주공11,13,27000,36.16
2020,1,18,하안동,13,주공9,15,28200,45.77
2020,1,20,소하동,48-13,광명삼익,3,34500,59.925
2020,1,20,광명동,713,중앙하이츠2,10,29900,56.49
2020,1,21,철산동,634,철산래미안자이,9,89500,84.66
2020,1,22,소하동,1363,광명신촌휴먼시아1단지,5,62500,84.95
2020,1,22,철산동,367,철산한신,12,61000,89.455
2020,1,22,광명동,781,월드메르디앙,12,50000,59.7
2020,10,10,하안동,30,주공10,12,54500,59.39
2020,10,10,소하동,1378,광명역세권휴먼시아3단지,13,84500,84.12
2020,10,10,하안동,650,주공3,7,48800,49.94
2020,10,10,일직동,519,광명역푸르지오,3,90000,59.988
2020,10,10,광명동,732,중앙하이츠1,3,52000,84.79
2020,10,10,하안동,110,주공12,4,45500,44.89
2020,10,10,하안동,27,주공11,12,52000,49.94
2020,10,10,하안동,650,주공3,13,35000,36.16
2020,10,10,철산동,625,도덕파크타운2단지,12,50000,49.98
2020,10,12,하안동,110,주공12,3,74000,84.79
2020,10,12,하안동,702,주공5,1,48000,59.39
2020,10,12,하안동,702,주공5,4,65000,79.07
2020,10,12,철산동,626-1,철산리버빌 주공아파트,4,40000,49.71
2020,10,13,하안동,296,주공6,8,43000,41.3
2020,10,13,소하동,1389,광명역세권휴먼시아5단지,13,89500,101.52
2020,10,13,하안동,13,주공9,5,52500,59.39
2020,10,13,철산동,449,주공12,3,71000,53.46
2020,10,14,일직동,519,광명역푸르지오,5,85000,59.997
2020,10,14,하안동,30,주공10,12,55000,59.39
2020,10,14,하안동,650,주공3,15,33000,36.16
2020,10,14,하안동,864,이편한세상센트레빌,8,83000,59.982
2020,10,14,철산동,55-1,광복현대아파트,7,51500,59.94
2020,10,15,철산동,367,철산한신,14,75900,89.455
2020,10,15,광명동,309-1,광명신원,13,40500,59.96
2020,10,15,광명동,732,중앙하이츠1,2,26800,48.69
2020,10,15,소하동,1288,광명소하휴먼시아2단지,7,92000,119.21
2020,10,15,하안동,650,주공3,13,41200,41.3
2020,10,15,하안동,707-9,하안현대아파트,5,38000,52.7
2020,10,15,일직동,518,광명역파크자이,26,128000,84.964
2020,10,15,소하동,55,동양(55-0),4,55800,84.57
2020,10,15,하안동,30,주공10,13,55300,59.39
2020,10,16,소하동,48-55,동양메이저2,8,56000,59.96
2020,10,16,하안동,27,주공11,3,39000,41.3
2020,10,16,하안동,707-9,하안현대아파트,1,53000,84.9
2020,10,16,하안동,864,이편한세상센트레빌,15,85000,59.982
2020,10,16,하안동,295,주공7,6,71000,79.07
2020,10,17,하안동,30,주공10,7,56000,58.01
2020,10,17,하안동,260,주공8(고층),11,44500,45.77
2020,10,17,하안동,650,주공3,4,35500,36.16
2020,10,17,광명동,200-6,광명한진타운,5,73000,84.95
2020,10,17,하안동,682,주공1,7,36000,41.3
2020,10,17,광명동,734,상우2차,14,25000,59.7
2020,10,17,철산동,634,철산래미안자이,6,112500,84.66
2020,10,17,하안동,27,주공11,10,39000,36.16
2020,10,17,일직동,517,광명역센트럴자이,10,102500,59.775
2020,10,17,철산동,626-1,철산리버빌 주공아파트,17,43000,49.61
2020,10,17,철산동,626-1,철산리버빌 주공아파트,3,39200,49.61
2020,10,17,철산동,241,주공13,10,91000,84.77
2020,10,17,철산동,241,주공13,10,79000,73.09
2020,10,18,철산동,449,주공12,15,80000,73.08
2020,10,18,하안동,864,이편한세상센트레빌,6,100500,84.975
2020,10,19,일직동,513,광명역 써밋플레이스,30,140000,98.444
2020,10,19,광명동,309-1,광명신원,7,39500,59.96
2020,10,19,하안동,651,주공4,13,43000,45.77
2020,10,19,광명동,200-6,광명한진타운,8,74000,84.95
2020,10,19,소하동,48-55,동양메이저2,15,74000,119.24
2020,10,19,철산동,629,두산위브,1,73750,84.9
2020,10,19,철산동,241,주공13,15,72000,73.08
2020,10,19,철산동,58,우성아파트,11,62500,84.74
2020,10,19,소하동,48-55,동양메이저2,8,70000,84.983
2020,10,20,하안동,110,주공12,4,44400,44.89
2020,10,20,하안동,681,주공2,5,54700,61.52
2020,10,20,소하동,1378,광명역세권휴먼시아3단지,9,78500,84.95
2020,10,20,소하동,1378,광명역세권휴먼시아3단지,18,84000,84.99
2020,10,20,하안동,864,이편한세상센트레빌,17,120000,123.7
2020,10,20,광명동,781,월드메르디앙,24,73000,84.83
2020,10,20,철산동,625,도덕파크타운1단지,11,64200,59.82
2020,10,21,소하동,48-55,동양메이저2,22,79000,119.24
2020,10,21,광명동,741-1,광명동리버빌A동,4,30500,69.46
2020,10,21,하안동,682,주공1,4,36800,41.3
2020,10,21,철산동,367,철산한신,10,78600,89.455
2020,10,21,광명동,733,영화,1,25900,59.94
2020,10,22,하안동,110,주공12,4,46800,44.89
2020,10,22,일직동,518,광명역파크자이,3,110000,84.931
2020,10,22,광명동,339-2,극동메모리스,12,69279,83.822
2020,10,22,소하동,1348,광명소하휴먼시아7단지,4,85500,119.75
2020,10,22,하안동,682,주공1,6,37800,41.3
2020,10,22,하안동,864,이편한세상센트레빌,15,99700,84.981
2020,10,22,하안동,110,주공12,1,57500,58.46
2020,10,22,철산동,629,두산위브,7,58700,59.81
2020,10,23,하안동,260,주공8(고층),12,54500,58.01
2020,10,23,하안동,650,주공3,5,35500,36.34
2020,10,23,하안동,702,주공5,9,34850,45.77
2020,10,23,하안동,295,주공7,7,40000,45.77
2020,10,23,하안동,295,주공7,15,55000,58.01
2020,10,23,하안동,30,주공10,3,45000,59.39
2020,10,23,소하동,1294,광명소하휴먼시아5단지,4,75000,84.83
2020,10,23,소하동,48-13,광명삼익,3,41800,59.925
2020,10,23,하안동,650,주공3,10,34000,36.16
2020,10,23,소하동,1288,광명소하휴먼시아2단지,9,95000,119.79
2020,10,23,광명동,777,팰리스필,3,48750,64.75
2020,10,23,철산동,626-1,철산리버빌 주공아파트,17,44500,49.61
2020,10,24,철산동,367,철산한신,16,75000,89.455
2020,10,24,철산동,634,철산래미안자이,25,125000,115.66
2020,10,24,철산동,629,두산위브,15,59500,59.81
